title,belongs_to_collection,budget,genre1,genre2,genre3,genre4,genre5,popularity,production_companies_1,production_companies_2,month,day,year,release_date,revenue,runtime,director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,language,country,actor_2_facebook_likes,imdb_score,movie_facebook_likes
#Horror,NA,1500000,Drama,Mystery,Horror,Thriller,,2.451342,AST Studios,Lowland Pictures,11,20,2015,11/20/2015,0,90,Tara Subkoff,35,37,56,Balthazar Getty,501,Timothy Hutton,1547,1044,Lydia Hearst,1,bullying|cyberbullying|girl|internet|throat slitting,English,United States,418,3.3,750
10 Cloverfield Lane,NA,15000000,Thriller,Science Fiction,Drama,,,14.421528,Paramount Pictures,Bad Robot,3,10,2016,3/10/2016,108286421,103,Dan Trachtenberg,411,16,82,John Gallagher Jr.,14000,Bradley Cooper,126893,14504,Sumalee Montano,0,alien|bunker|car crash|kidnapping|minimal cast,English,United States,338,7.3,33000
10 Days in a Madhouse,NA,1200000,Drama,,,,,1.034954,,,11,20,2015,11/20/2015,0,111,Timothy Hines,1,0,247,Kelly LeBrock,1000,Christopher Lambert,314,2059,Alexandra Callas,1,NA,English,United States,445,7.5,26000
10 Things I Hate About You,NA,16000000,Comedy,Romance,Drama,,,12.069966,Mad Chance,Jaret Entertainment,3,30,1999,3/30/1999,53478166,97,Gil Junger,133,19,835,Heath Ledger,23000,Joseph Gordon-Levitt,222099,37907,Andrew Keegan,6,dating|protective father|school|shrew|teen movie,English,United States,13000,7.2,10000
102 Dalmatians,"{'id': 124916, 'name': '101 Dalmatians (Live-Action) Collection', 'poster_path': '/oSeIai1ioj4dbq7WgbPzpsSCzkS.jpg', 'backdrop_path': '/eTaNHqpi7VldgcrDetfTzk4FeDi.jpg'}",85000000,Comedy,Family,,,,7.668752,Walt Disney Pictures,Cruella Productions,10,7,2000,10/7/2000,183611771,100,Kevin Lima,84,36,439,Eric Idle,2000,Ioan Gruffudd,26413,4182,Jim Carter,1,dog|parole|parole officer|prison|puppy,English,United States,795,4.8,372
10th & Wolf,NA,8000000,Action,Crime,Drama,Mystery,Thriller,3.034823,Thinkfilm,,2,19,2006,2/19/2006,143451,107,Robert Moresco,26,53,463,Brad Renfro,954,Brian Dennehy,5557,2512,Dash Mihok,5,desert storm|fbi|fbi agent|fragmentation grenade|woman kills attacker,English,United States,551,6.4,294
11:14,NA,6000000,Crime,Drama,Thriller,,,14.454722,Firm Films,Media 8 Entertainment,5,16,2003,5/16/2003,0,86,Greg Marcks,68,9,407,Barbara Hershey,861,Henry Thomas,38273,2200,Shawn Hatosy,1,convenience store|multiple perspectives|murder|paramedic|van,English,United States,618,7.2,0
12 Angry Men,NA,350000,Drama,,,,,16.503959,United Artists,Orion-Nova Productions,3,25,1957,3/25/1957,1000000,96,Sidney Lumet,177,0,253,Lee J. Cobb,359,Jack Warden,447785,1433,John Fiedler,1,courtroom|dialogue driven|dialogue driven storyline|jury|murder,English,United States,259,8.9,40000
12 Rounds,"{'id': 221622, 'name': '12 Rounds Collection', 'poster_path': '/l1TBw4KOSWAxYM3RwRFFGq8VG69.jpg', 'backdrop_path': '/cPNJRFgk1EtdqUAOSZ5gPigj741.jpg'}",20000000,Action,Adventure,Drama,Thriller,,13.591485,The Mark Gordon Company,Fox Atomic,3,19,2009,3/19/2009,17280326,108,Renny Harlin,113,212,347,Ashley Scott,969,Taylor Cole,22823,2799,Nick Gomez,1,2000s|detective|sadist|terrorism|terrorist,English,United States,794,5.6,0
12 Years a Slave,NA,20000000,Drama,History,,,,30.316249,Plan B Entertainment,Regency Enterprises,10,18,2013,10/18/2013,187000000,134,Steve McQueen,597,0,500,Scoot McNairy,2000,Quvenzhané Wallis,439176,4251,Taran Killam,0,racism|separation from family|social injustice|torture|whipping,English,United States,660,8.1,83000
127 Hours,NA,18000000,Adventure,Drama,Thriller,,,11.176797,Fox Searchlight Pictures,Warner Bros.,11,5,2010,11/5/2010,35692920,94,Danny Boyle,450,0,223,Treat Williams,11000,James Franco,279179,11984,Kate Burton,0,alone|aron ralston|based on autobiography|canyon|survival,English,United States,642,7.6,63000
13 Going on 30,NA,37000000,Comedy,Fantasy,Romance,,,12.632595,Columbia Pictures,Revolution Studios,4,13,2004,4/13/2004,96455697,98,Gary Winick,119,56,533,Judy Greer,3000,Jennifer Garner,122187,6742,Christa B. Allen,1,13 year old|13th birthday|30 year old|wish|year 1987,English,United States,2000,6.1,0
1408,NA,25000000,Horror,Thriller,,,,9.196884,The Weinstein Company,Di Bonaventura Pictures,7,12,2007,7/12/2007,94679598,104,Mikael Håfström,314,101,23,Kim Thomson,129,Drew Powell,209396,214,Alexandra Silber,0,book|debunking|evil|hotel|paranormal phenomena,English,United States,25,6.8,11000
15 Minutes,NA,60000000,Action,Crime,Thriller,,,12.149946,New Line Cinema,Industry Entertainment,3,1,2001,3/1/2001,56359980,120,John Herzfeld,151,17,808,Charlize Theron,22000,Robert De Niro,42547,33585,Kelsey Grammer,1,criminal|detective|fire|homicide|media,English,United States,9000,6.1,748
16 Blocks,NA,55000000,Action,Adventure,Crime,Thriller,,11.887779," Company"", ",", ",3,1,2006,3/1/2006,65664721,105,Richard Donner,199,503,795,David Zayas,13000,Bruce Willis,112769,15053,Sasha Roiz,2,alcoholic|courthouse|detective|jail|witness,English,Germany,929,6.6,0
17 Again,NA,20000000,Comedy,,,,,11.362762,New Line Cinema,Offspring Entertainment,3,11,2009,3/11/2009,136267476,102,Burr Steers,191,23,651,Hunter Parrish,2000,Matthew Perry,146899,7009,Thomas Lennon,1,adult as child|father son relationship|high school student|janitor|school,English,United States,2000,6.4,0
1911,NA,30000000,Adventure,Drama,Action,History,War,3.835131,Variance Films,,7,3,2011,7/3/2011,108348,125,Li Zhang,63,0,187,Joan Chen,974,Bingbing Li,4670,1887,Jaycee Chan,0,china|disarming someone|qing dynasty|stabbed with a bayonet|war violence,Mandarin,China,643,6,0
1941,NA,35000000,Action,Comedy,,,,7.812379,Columbia Pictures,Universal Pictures,12,13,1979,12/13/1979,31755742,113,Steven Spielberg,56,14000,642,John Belushi,16000,Christopher Lee,25193,20201,Treat Williams,5,california|captain|cult film|pearl harbor|submarine,English,United States,1000,5.9,2000
2 Fast 2 Furious,"{'id': 9485, 'name': 'The Fast and the Furious Collection', 'poster_path': '/mCkqJf4ijbNoBWvJ0RTWZJuhJUA.jpg', 'backdrop_path': '/z5A5W3WYJc3UVEWljSGwdjDgQ0j.jpg'}",76000000,Action,Crime,Thriller,,,2.32462,Mikona Productions GmbH & Co. KG,Universal Pictures,6,5,2003,6/5/2003,236350661,107,John Singleton,150,309,771,Cole Hauser,23000,Paul Walker,191912,25296,Mo Gallini,5,bust|racing|shotgun|street racing|undercover agent,English,United States,787,5.9,0
2 Guns,NA,61000000,Action,Comedy,Crime,,,13.336512,Universal Studios,Marc Platt Productions,8,2,2013,8/2/2013,131940411,109,Baltasar Kormákur,265,175,459,Patrick Fischler,18000,Denzel Washington,156898,20148,Fred Ward,1,close up of breasts|female nudity|fugitive|money|undercover,English,United States,497,6.7,22000
2:13,NA,3500000,Horror,Thriller,Mystery,,,0.861213,Anthem Pictures,"s An Us Thing Productions Inc."", ",4,25,2009,4/25/2009,0,96,Charles Adelman,4,0,460,Kevin Pollak,708,Teri Polo,961,2307,Jere Burns,0,death|forensic|murder|profiler|serial killer,English,United States,574,4.8,211
20 Feet from Stardom,NA,1000000,Documentary,Music,,,,8.283621,Tremolo Productions,,6,14,2013,6/14/2013,0,89,Morgan Neville,149,9,13,Lou Adler,130,Sheryl Crow,9540,198,Merry Clayton,0,backup singer|band|bechdel test passed|concert footage|singer,English,United States,19,7.4,14000
