title,belongs_to_collection,budget,genre1,genre2,genre3,genre4,genre5,runtime,director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,language,country,actor_2_facebook_likes,imdb_score,movie_facebook_likes
#Horror,NA,1500000,Drama,Mystery,Horror,Thriller,,90,Tara Subkoff,35,37,56,Balthazar Getty,501,Timothy Hutton,1547,1044,Lydia Hearst,1,bullying|cyberbullying|girl|internet|throat slitting,English,USA,418,3.3,750
10 Cloverfield Lane,NA,15000000,Thriller,Science Fiction,Drama,,,103,Dan Trachtenberg,411,16,82,John Gallagher Jr.,14000,Bradley Cooper,126893,14504,Sumalee Montano,0,alien|bunker|car crash|kidnapping|minimal cast,English,USA,338,7.3,33000
10 Days in a Madhouse,NA,1200000,Drama,,,,,111,Timothy Hines,1,0,247,Kelly LeBrock,1000,Christopher Lambert,314,2059,Alexandra Callas,1,NA,English,USA,445,7.5,26000
10 Things I Hate About You,NA,16000000,Comedy,Romance,Drama,,,97,Gil Junger,133,19,835,Heath Ledger,23000,Joseph Gordon-Levitt,222099,37907,Andrew Keegan,6,dating|protective father|school|shrew|teen movie,English,USA,13000,7.2,10000
102 Dalmatians,"{'id': 124916, 'name': '101 Dalmatians (Live-Action) Collection', 'poster_path': '/oSeIai1ioj4dbq7WgbPzpsSCzkS.jpg', 'backdrop_path': '/eTaNHqpi7VldgcrDetfTzk4FeDi.jpg'}",85000000,Comedy,Family,,,,100,Kevin Lima,84,36,439,Eric Idle,2000,Ioan Gruffudd,26413,4182,Jim Carter,1,dog|parole|parole officer|prison|puppy,English,USA,795,4.8,372
10th & Wolf,NA,8000000,Action,Crime,Drama,Mystery,Thriller,107,Robert Moresco,26,53,463,Brad Renfro,954,Brian Dennehy,5557,2512,Dash Mihok,5,desert storm|fbi|fbi agent|fragmentation grenade|woman kills attacker,English,USA,551,6.4,294
11:14,NA,6000000,Crime,Drama,Thriller,,,86,Greg Marcks,68,9,407,Barbara Hershey,861,Henry Thomas,38273,2200,Shawn Hatosy,1,convenience store|multiple perspectives|murder|paramedic|van,English,USA,618,7.2,0
12 Angry Men,NA,350000,Drama,,,,,96,Sidney Lumet,177,0,253,Lee J. Cobb,359,Jack Warden,447785,1433,John Fiedler,1,courtroom|dialogue driven|dialogue driven storyline|jury|murder,English,USA,259,8.9,40000
12 Rounds,"{'id': 221622, 'name': '12 Rounds Collection', 'poster_path': '/l1TBw4KOSWAxYM3RwRFFGq8VG69.jpg', 'backdrop_path': '/cPNJRFgk1EtdqUAOSZ5gPigj741.jpg'}",20000000,Action,Adventure,Drama,Thriller,,108,Renny Harlin,113,212,347,Ashley Scott,969,Taylor Cole,22823,2799,Nick Gomez,1,2000s|detective|sadist|terrorism|terrorist,English,USA,794,5.6,0
12 Years a Slave,NA,20000000,Drama,History,,,,134,Steve McQueen,597,0,500,Scoot McNairy,2000,Quvenzhané Wallis,439176,4251,Taran Killam,0,racism|separation from family|social injustice|torture|whipping,English,USA,660,8.1,83000
127 Hours,NA,18000000,Adventure,Drama,Thriller,,,94,Danny Boyle,450,0,223,Treat Williams,11000,James Franco,279179,11984,Kate Burton,0,alone|aron ralston|based on autobiography|canyon|survival,English,USA,642,7.6,63000
13 Going on 30,NA,37000000,Comedy,Fantasy,Romance,,,98,Gary Winick,119,56,533,Judy Greer,3000,Jennifer Garner,122187,6742,Christa B. Allen,1,13 year old|13th birthday|30 year old|wish|year 1987,English,USA,2000,6.1,0
1408,NA,25000000,Horror,Thriller,,,,104,Mikael Håfström,314,101,23,Kim Thomson,129,Drew Powell,209396,214,Alexandra Silber,0,book|debunking|evil|hotel|paranormal phenomena,English,USA,25,6.8,11000
15 Minutes,NA,60000000,Action,Crime,Thriller,,,120,John Herzfeld,151,17,808,Charlize Theron,22000,Robert De Niro,42547,33585,Kelsey Grammer,1,criminal|detective|fire|homicide|media,English,USA,9000,6.1,748
16 Blocks,NA,55000000,Action,Adventure,Crime,Thriller,,105,Richard Donner,199,503,795,David Zayas,13000,Bruce Willis,112769,15053,Sasha Roiz,2,alcoholic|courthouse|detective|jail|witness,English,Germany,929,6.6,0
